N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,DIS-VD,0.791,0.717,0.074,0.813,0.856
2,DIS-TE1,0.741,0.663,0.074,0.787,0.820
3,DIS-TE2,0.799,0.729,0.070,0.823,0.858
4,DIS-TE3,0.830,0.758,0.064,0.836,0.883
5,DIS-TE4,0.827,0.753,0.072,0.830,0.870
,Average:,0.798,0.724,0.071,0.818,0.858
