N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S14_C2_V4,0.26,0.007,0.213,0.393,0.251
2,E6_S14_C2_V6_3,0.213,0.008,0.173,0.413,0.251
3,E6_S14_C2_V7_1,0.219,0.008,0.177,0.411,0.251
4,E6_S15_C3_V2_0,0.255,0.007,0.209,0.395,0.251
5,E6_S15_C3_V2_1,0.243,0.007,0.198,0.4,0.251
6,E6_S15_C3_V2_6,0.237,0.007,0.193,0.403,0.251
,Average:,0.238,0.008,0.194,0.402,0.251
