N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S5_C2_P0,0.291,0.071,0.085,0.472,0.295
2,E3_S5_C2_P1,0.7,0.297,0.092,0.559,0.459
3,E3_S5_C2_P2,0.336,0.076,0.14,0.453,0.293
4,E3_S5_C2_P3,0.374,0.036,0.154,0.428,0.265
5,E3_S5_C2_P4,0.179,0.014,0.143,0.428,0.254
6,E3_S5_C2_P5,0.18,0.011,0.144,0.427,0.252
7,E3_S5_C2_P6,0.192,0.01,0.155,0.422,0.251
8,E3_S5_C2_P7,0.134,0.013,0.107,0.446,0.252
9,E3_S5_C2_P8,0.111,0.012,0.088,0.466,0.269
,Average:,0.277,0.06,0.123,0.456,0.288
