N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S9_C1_P7,0.518,0.122,0.261,0.408,0.328
2,E5_S9_C1_P16,0.276,0.007,0.228,0.385,0.255
3,E5_S9_C1_P19,0.253,0.007,0.207,0.396,0.252
4,E5_S11_C2_P5,0.21,0.005,0.178,0.406,0.277
5,E5_S11_C2_P10_1,0.269,0.005,0.222,0.388,0.251
6,E5_S11_C2_P11,0.352,0.005,0.295,0.352,0.251
,Average:,0.313,0.025,0.232,0.389,0.269
