N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S13_C1_V1_9,0.259,0.008,0.212,0.393,0.251
2,E6_S13_C1_V1_10,0.26,0.008,0.213,0.393,0.251
,Average:,0.259,0.008,0.212,0.393,0.251
