N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,S-1,0.246,0.007,0.201,0.399,0.251
2,S-2,0.395,0.213,0.105,0.533,0.412
3,S-3,0.313,0.025,0.232,0.389,0.269
4,S-4,0.184,0.009,0.148,0.425,0.252
5,S-5,0.238,0.008,0.194,0.402,0.251
,Average:,0.275,0.052,0.176,0.43,0.287
