N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S12_T1_A1_4,0.214,0.007,0.173,0.413,0.251
2,E6_S12_T1_A1_6,0.226,0.012,0.184,0.408,0.254
3,E6_S12_T1_B2_3,0.15,0.008,0.12,0.439,0.252
4,E6_S12_T1_B2_5,0.147,0.008,0.117,0.44,0.252
,Average:,0.184,0.009,0.148,0.425,0.252
