N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S5_C2_P0,0.29,0.071,0.085,0.472,0.295
2,E3_S5_C2_P5,0.18,0.011,0.144,0.427,0.252
3,E4_S6_C0_P2_12,0.923,0.763,0.041,0.81,0.852
4,E4_S6_C0_P3,0.186,0.008,0.149,0.425,0.251
,Average:,0.395,0.213,0.105,0.533,0.412
