N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,S-1,0.151,0.081,0.029,0.507,0.307
2,S-2,0.277,0.06,0.123,0.456,0.288
3,S-3,0.287,0.006,0.237,0.381,0.251
4,S-4,0.446,0.15,0.213,0.451,0.357
5,S-5,0.259,0.008,0.212,0.393,0.251
,Average:,0.284,0.061,0.163,0.438,0.291
