N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S4_C1_P2_6,0.181,0.01,0.145,0.427,0.252
2,E5_S7_C0_P13,0.258,0.007,0.212,0.394,0.251
3,E5_S7_C0_P14,0.247,0.007,0.202,0.398,0.251
4,E5_S8_C0_P1,0.319,0.006,0.265,0.367,0.251
5,E5_S10_C0_P8,0.223,0.006,0.181,0.409,0.251
,Average:,0.246,0.007,0.201,0.399,0.251
