N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S8_C0_P1,0.319,0.006,0.265,0.367,0.251
2,E5_S8_C0_P5,0.301,0.006,0.249,0.375,0.251
3,E5_S8_C0_P6,0.242,0.006,0.197,0.401,0.251
,Average:,0.287,0.006,0.237,0.381,0.251
