N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E2_S3_W1_L1,0.141,0.066,0.039,0.496,0.295
2,E2_S3_W1_L2,0.412,0.194,0.028,0.539,0.393
3,E2_S3_W1_L3,0.21,0.109,0.025,0.518,0.33
4,E2_S3_W1_L4,0.183,0.111,0.022,0.529,0.338
5,E2_S3_W1_L5,0.113,0.083,0.022,0.521,0.315
6,E2_S3_W1_L9,0.052,0.049,0.014,0.492,0.267
7,E2_S3_W1_L13,0.05,0.021,0.039,0.481,0.26
8,E2_S3_W1_L15,0.05,0.018,0.039,0.48,0.258
,Average:,0.151,0.081,0.029,0.507,0.307
