N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,S-1,0.901,0.799,0.008,0.887,0.936
2,S-2,0.977,0.952,0.008,0.967,0.985
3,S-3,0.986,0.96,0.017,0.961,0.976
4,S-4,0.98,0.959,0.016,0.959,0.978
5,S-5,0.99,0.976,0.008,0.976,0.987
,Average:,0.967,0.929,0.012,0.95,0.972
