N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S8_C0_P1,0.984,0.951,0.024,0.943,0.968
2,E5_S8_C0_P5,0.989,0.966,0.015,0.971,0.979
3,E5_S8_C0_P6,0.985,0.961,0.012,0.969,0.982
,Average:,0.986,0.96,0.017,0.961,0.976
