N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S13_C1_V1_9,0.989,0.975,0.009,0.975,0.987
2,E6_S13_C1_V1_10,0.99,0.976,0.008,0.976,0.987
,Average:,0.99,0.976,0.008,0.976,0.987
