N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S4_C1_P2_6,0.991,0.978,0.006,0.983,0.989
2,E5_S7_C0_P13,0.978,0.962,0.014,0.959,0.981
3,E5_S7_C0_P14,0.985,0.962,0.012,0.964,0.983
4,E5_S8_C0_P1,0.989,0.972,0.014,0.962,0.98
5,E5_S10_C0_P8,0.976,0.948,0.014,0.96,0.98
,Average:,0.984,0.964,0.012,0.966,0.982
