N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S5_C2_P0,0.952,0.924,0.011,0.951,0.981
2,E3_S5_C2_P1,0.982,0.961,0.008,0.976,0.986
3,E3_S5_C2_P2,0.99,0.975,0.006,0.977,0.989
4,E3_S5_C2_P3,0.99,0.969,0.008,0.973,0.987
5,E3_S5_C2_P4,0.985,0.958,0.009,0.97,0.985
6,E3_S5_C2_P5,0.988,0.969,0.007,0.972,0.988
7,E3_S5_C2_P6,0.987,0.973,0.007,0.975,0.988
8,E3_S5_C2_P7,0.977,0.953,0.008,0.966,0.986
9,E3_S5_C2_P8,0.938,0.889,0.013,0.941,0.978
,Average:,0.977,0.952,0.008,0.967,0.985
