N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,S-1,0.984,0.964,0.012,0.966,0.982
2,S-2,0.978,0.954,0.009,0.963,0.983
3,S-3,0.983,0.96,0.015,0.962,0.978
4,S-4,0.989,0.975,0.006,0.98,0.988
5,S-5,0.994,0.985,0.005,0.984,0.99
,Average:,0.986,0.968,0.01,0.971,0.984
