N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S12_T1_A1_4,0.993,0.984,0.005,0.985,0.99
2,E6_S12_T1_A1_6,0.977,0.949,0.014,0.96,0.98
3,E6_S12_T1_B2_3,0.994,0.985,0.003,0.988,0.991
4,E6_S12_T1_B2_5,0.992,0.984,0.004,0.987,0.991
,Average:,0.989,0.975,0.006,0.98,0.988
