N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E6_S14_C2_V4,0.995,0.988,0.005,0.987,0.99
2,E6_S14_C2_V6_3,0.994,0.985,0.005,0.986,0.99
3,E6_S14_C2_V7_1,0.992,0.977,0.006,0.978,0.988
4,E6_S15_C3_V2_0,0.996,0.989,0.004,0.987,0.991
5,E6_S15_C3_V2_1,0.995,0.989,0.004,0.987,0.991
6,E6_S15_C3_V2_6,0.992,0.982,0.007,0.981,0.988
,Average:,0.994,0.985,0.005,0.984,0.99
