N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E2_S3_W1_L1,0.962,0.93,0.004,0.959,0.983
2,E2_S3_W1_L2,0.94,0.84,0.008,0.924,0.964
3,E2_S3_W1_L3,0.893,0.784,0.009,0.905,0.942
4,E2_S3_W1_L4,0.894,0.753,0.009,0.88,0.926
5,E2_S3_W1_L5,0.884,0.735,0.01,0.85,0.911
6,E2_S3_W1_L9,0.773,0.607,0.01,0.739,0.819
7,E2_S3_W1_L13,0.942,0.881,0.007,0.925,0.975
8,E2_S3_W1_L15,0.918,0.859,0.008,0.911,0.97
,Average:,0.901,0.799,0.008,0.887,0.936
