N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S9_C1_P7,0.985,0.958,0.017,0.959,0.977
2,E5_S9_C1_P16,0.987,0.974,0.01,0.974,0.984
3,E5_S9_C1_P19,0.981,0.956,0.014,0.962,0.981
4,E5_S11_C2_P5,0.989,0.974,0.007,0.979,0.988
5,E5_S11_C2_P10_1,0.968,0.939,0.02,0.95,0.971
6,E5_S11_C2_P11,0.987,0.958,0.024,0.949,0.969
,Average:,0.983,0.96,0.015,0.962,0.978
