N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E3_S5_C2_P0,0.959,0.921,0.012,0.943,0.976
2,E3_S5_C2_P5,0.993,0.985,0.004,0.986,0.991
3,E4_S6_C0_P2_12,0.975,0.954,0.009,0.97,0.982
4,E4_S6_C0_P3,0.986,0.957,0.01,0.954,0.985
,Average:,0.978,0.954,0.009,0.963,0.983
